# siteid moodid mood

# LiveJournal
2 1 aggravated
2 2 angry
2 3 annoyed
2 4 anxious
2 5 bored
2 6 confused
2 7 crappy
2 8 cranky
2 9 depressed
2 10 discontent
2 11 energetic
2 12 enraged
2 13 enthralled
2 14 exhausted
2 15 happy
2 16 high
2 17 horny
2 18 hungry
2 19 infuriated
2 20 irate
2 21 jubilant
2 22 lonely
2 23 moody
2 24 pissed off
2 25 sad
2 26 satisfied
2 27 sore
2 28 stressed
2 29 thirsty
2 30 thoughtful
2 31 tired
2 32 touched
2 33 lazy
2 34 drunk
2 35 ditzy
2 36 mischievous
2 37 morose
2 38 gloomy
2 39 melancholy
2 40 drained
2 41 excited
2 42 relieved
2 43 hopeful
2 44 amused
2 45 determined
2 46 scared
2 47 frustrated
2 48 indescribable
2 49 sleepy
2 51 groggy
2 52 hyper
2 53 relaxed
2 54 restless
2 55 disappointed
2 56 curious
2 57 mellow
2 58 peaceful
2 59 bouncy
2 60 nostalgic
2 61 okay
2 62 rejuvenated
2 63 complacent
2 64 content
2 65 indifferent
2 66 silly
2 67 flirty
2 68 calm
2 69 refreshed
2 70 optimistic
2 71 pessimistic
2 72 giggly
2 73 pensive
2 74 uncomfortable
2 75 lethargic
2 76 listless
2 77 recumbent
2 78 exanimate
2 79 embarrassed
2 80 envious
2 81 sympathetic
2 82 sick
2 83 hot
2 84 cold
2 85 worried
2 86 loved
2 87 awake
2 88 working
2 89 productive
2 90 accomplished
2 91 busy
2 92 blah
2 93 full
2 95 grumpy
2 96 weird
2 97 nauseated
2 98 ecstatic
2 99 chipper
2 100 rushed
2 101 contemplative
2 102 nerdy
2 103 geeky
2 104 cynical
2 105 quixotic
2 106 crazy
2 107 creative
2 108 artistic
2 109 pleased
2 110 bitchy
2 111 guilty
2 112 irritated
2 113 blank
2 114 apathetic
2 115 dorky
2 116 impressed
2 117 naughty
2 118 predatory
2 119 dirty
2 120 giddy
2 121 surprised
2 122 shocked
2 123 rejected
2 124 numb
2 125 cheerful
2 126 good
2 127 distressed
2 128 intimidated
2 129 crushed
2 130 devious
2 131 thankful
2 132 grateful
2 133 jealous
2 134 nervous

# InsaneJournal
3 1 aggravated
3 2 angry
3 3 annoyed
3 4 anxious
3 5 bored
3 6 confused
3 7 crappy
3 8 cranky
