"Atlantic Community High School","US","FL","Delray Beach",""
"University High School","US","CA","Irvine",""
"St. John's College","US","MD","Annapolis","http://www.sjca.edu"
"Farmingdale High School","US","NY","Farmingdale","http://farmingdaleschools.org/"
"T.F. Riggs High School","US","SD","Pierre",""
"Gordon College","US","GA","Barnesville",""
"Saratoga High School","US","CA","Saratoga","http://www.saratogahigh.org"
"Brigham Young University","US","UT","Provo","http://home.byu.edu/webapp/home/index.jsp"
"Alameda High School","US","CA","Alameda",""
"Ingersoll District Collegiate Institute","CA","On","Ingersoll","http://www.tvdsb.on.ca/IDCI/"
"Robbinsdale Cooper High School","US","MN","New Hope","http://www.rdale.k12.mn.us/chs"
"Northwood High School","US","CA","Irvine","http://www.northwoodhigh.org/"
"Cardinal Carter Academy for the Arts","CA","On","Toronto","http://www.cardinalcarter.com"
"Greater Johnstown High School","US","PA","Johnstown","http://trojan.gjsd.pa.us"
"Kaj Munk College","NL","","Hoofddorp","http://www.kajmunk.nl"
"Bishop Brady High School","US","NH","Concord","http://www.bishiopbrady.edu"
"Oakland University","US","MI","Rochester Hills","http://www2.oakland.edu"
"Interlachen High School","US","FL","Interlachen","http://www.ihsrams.net/"
"Cathedral High School","US","IN","Indianapolis",""
"Northern Virginia Community College","US","VA","Alexandria",""
"University of Sheffield","UK","","Sheffield","http://www.shef.ac.uk"
"Lutheran High School of Orange County","US","CA","Orange","http://www.lhsoc.com"
"Holy Names University","US","CA","Oakland","http://www.hnu.edu/"
"Bethesda - Chevy Chase High School","US","MD","Bethesda","http://www.mcps.k12.md.us/schools/bcchs/index.shtm"
"Ursuline School","US","NY","New Rochelle","http://www.ursuline.pvt.k12.ny.us/"
"Mission Secondary School","CA","Bc","Mission","http://missionsecondary.sd75.mission.bc.ca/"
"Durham Academy Upper School","US","NC","Durham","http://da.org/"
"West Mecklenburg High School","US","NC","Charlotte","http://www.cms.k12.nc.us/allschools/westmeck/"
"St. John's University","US","MN","Collegeville","http://www.csbsju.edu"
"Highland School of Technology","US","NC","Gastonia","http://www.highlandtech.us"
"North Royalton High School","US","OH","North Royalton",""
"John Burroughs School","US","MO","St. Louis","http://www.jburroughs.org"
